"Station","","'=","1301 Bad Rotenfels Murg 10 47",""
"Komponente","","'=","3 91 2 Schüttung, Durchfluss Q m³/s OG",""
"Produkt","","'=","1 0000010000 3 Tagesmittelwert",""
"Zeitraum","","'=","Thu Jan 01 00:00:00 CET 1981 Tue Dec 31 23:59:59 CET 2024",""


"Messstellennummer","Stationsname","Gewässer","Parameter","Datum / Uhrzeit","Zeitbezug","Wert","Einheit","Produkt"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-23","MEZ","9,989","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-24","MEZ","10,63","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-25","MEZ","10,46","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-26","MEZ","10,586","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-27","MEZ","10,815","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-02-28","MEZ","10,048","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-01","MEZ","8,87","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-02","MEZ","8,902","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-03","MEZ","8,723","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-04","MEZ","10,596","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-05","MEZ","9,393","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-06","MEZ","10,645","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-07","MEZ","11,386","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-08","MEZ","22,148","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-09","MEZ","50,203","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-10","MEZ","128,415","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-11","MEZ","107,862","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-12","MEZ","94,74","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-13","MEZ","109,37","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-14","MEZ","71,183","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-15","MEZ","42,839","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-16","MEZ","46,347","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-17","MEZ","39,97","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-18","MEZ","36,98","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-19","MEZ","30,043","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-20","MEZ","24,932","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-21","MEZ","20,776","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-22","MEZ","20,333","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-23","MEZ","31,925","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-24","MEZ","72,336","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-25","MEZ","93,056","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-26","MEZ","79,045","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-27","MEZ","63,551","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-28","MEZ","42,72","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-29","MEZ","33,866","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-30","MEZ","42,458","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-03-31","MEZ","37,065","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-01","MEZ","35,014","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-02","MEZ","34,837","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-03","MEZ","30,574","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-04","MEZ","26,179","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-05","MEZ","20,956","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-06","MEZ","23,505","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-07","MEZ","20,631","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-08","MEZ","17,253","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-09","MEZ","16,823","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-10","MEZ","16,933","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-11","MEZ","13,886","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-12","MEZ","12,97","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-13","MEZ","15,286","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-14","MEZ","13,646","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-15","MEZ","12,108","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-16","MEZ","11,448","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-17","MEZ","7,987","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-18","MEZ","7,648","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-19","MEZ","7,152","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-20","MEZ","7,528","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-21","MEZ","9,109","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-22","MEZ","8,458","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-23","MEZ","9,141","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-24","MEZ","8,329","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-25","MEZ","6,479","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-26","MEZ","5,918","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-27","MEZ","9,38","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-28","MEZ","13,091","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-29","MEZ","9,454","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-04-30","MEZ","8,619","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-01","MEZ","26,735","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-02","MEZ","42,366","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-03","MEZ","16,358","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-04","MEZ","18,598","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-05","MEZ","20,365","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-06","MEZ","22,051","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-07","MEZ","19,013","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-08","MEZ","19,25","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-09","MEZ","16,405","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-10","MEZ","10,997","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-11","MEZ","14,253","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-12","MEZ","14,093","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-13","MEZ","14,094","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-14","MEZ","17,251","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-15","MEZ","12,42","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-16","MEZ","8,317","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-17","MEZ","8,162","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-18","MEZ","9,38","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-19","MEZ","8,854","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-20","MEZ","7,764","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-21","MEZ","7,112","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-22","MEZ","7,701","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-23","MEZ","5,946","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-24","MEZ","6,22","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-25","MEZ","8,723","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-26","MEZ","12,62","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-27","MEZ","24,395","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-28","MEZ","20,225","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-29","MEZ","16","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-30","MEZ","13,97","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-05-31","MEZ","10,395","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-01","MEZ","13,484","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-02","MEZ","11,231","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-03","MEZ","15,377","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-04","MEZ","24,173","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-05","MEZ","21,106","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-06","MEZ","12,744","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-07","MEZ","9,485","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-08","MEZ","8,216","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-09","MEZ","9,779","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-10","MEZ","11,566","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-11","MEZ","8,137","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-12","MEZ","6,346","m³/s","Tagesmittelwert"
"1301","Bad Rotenfels Murg","Murg","Q","1981-06-13","MEZ","6,607","m³/s","Tagesmittelwert"
