valid_time,latitude,longitude,tp,number
1981-01-31,48.4,8.45,0.0,0
1981-01-31,48.4,8.2,0.0,0
1981-01-31,48.65,8.45,0.0,0
1981-01-31,48.65,8.2,0.0,0
1981-02-01,48.65,8.2,0.0,0
1981-02-01,48.65,8.45,0.0,0
1981-02-01,48.4,8.2,0.0,0
1981-02-01,48.4,8.45,0.0,0
1981-02-02,48.65,8.2,0.0,0
1981-02-02,48.65,8.45,0.0,0
1981-02-02,48.4,8.2,0.0,0
1981-02-02,48.4,8.45,0.0,0
1981-02-03,48.4,8.2,0.0106260665,0
1981-02-03,48.4,8.45,0.010804746,0
1981-02-03,48.65,8.2,0.012203994,0
1981-02-03,48.65,8.45,0.0123773515,0
1981-02-04,48.65,8.2,0.015204073,0
1981-02-04,48.65,8.45,0.01622544,0
1981-02-04,48.4,8.2,0.01745563,0
1981-02-04,48.4,8.45,0.017966859,0
1981-02-05,48.65,8.2,0.0048968196,0
1981-02-05,48.65,8.45,0.0051507996,0
1981-02-05,48.4,8.2,0.0054952577,0
1981-02-05,48.4,8.45,0.0053708227,0
1981-02-06,48.4,8.45,0.0080321,0
1981-02-06,48.65,8.2,0.009125557,0
1981-02-06,48.65,8.45,0.0086018955,0
1981-02-06,48.4,8.2,0.009053269,0
1981-02-07,48.4,8.2,0.007130352,0
1981-02-07,48.4,8.45,0.0038860976,0
1981-02-07,48.65,8.2,0.0091717355,0
1981-02-07,48.65,8.45,0.0051460816,0
1981-02-08,48.65,8.2,0.0011028101,0
1981-02-08,48.65,8.45,0.0005447517,0
1981-02-08,48.4,8.2,0.00091451855,0
1981-02-08,48.4,8.45,0.00038045313,0
1981-02-09,48.65,8.2,5.965727e-05,0
1981-02-09,48.65,8.45,5.5878525e-05,0
1981-02-09,48.4,8.2,6.0460137e-05,0
1981-02-09,48.4,8.45,5.2596704e-05,0
1981-02-10,48.65,8.2,0.0037238675,0
1981-02-10,48.65,8.45,0.003821307,0
1981-02-10,48.4,8.2,0.004270043,0
1981-02-10,48.4,8.45,0.0039511966,0
1981-02-11,48.4,8.45,0.00059539307,0
1981-02-11,48.4,8.2,0.00051544956,0
1981-02-11,48.65,8.45,0.00060977734,0
1981-02-11,48.65,8.2,0.00041914269,0
1981-02-12,48.65,8.2,0.00010374122,0
1981-02-12,48.65,8.45,0.00014269545,0
1981-02-12,48.4,8.2,7.506675e-05,0
1981-02-12,48.4,8.45,0.00011937676,0
1981-02-13,48.65,8.2,5.713737e-07,0
1981-02-13,48.65,8.45,1.4300895e-06,0
1981-02-13,48.4,8.2,0.0,0
1981-02-13,48.4,8.45,0.0,0
1981-02-14,48.4,8.45,0.0,0
1981-02-14,48.65,8.2,0.0,0
1981-02-14,48.65,8.45,0.0,0
1981-02-14,48.4,8.2,0.0,0
1981-02-15,48.4,8.45,0.0,0
1981-02-15,48.4,8.2,0.0,0
1981-02-15,48.65,8.2,0.0,0
1981-02-15,48.65,8.45,0.0,0
1981-02-16,48.65,8.2,0.0,0
1981-02-16,48.65,8.45,0.0,0
1981-02-16,48.4,8.2,0.0,0
1981-02-16,48.4,8.45,0.0,0
1981-02-17,48.65,8.2,0.00031992403,0
1981-02-17,48.65,8.45,0.0003986507,0
1981-02-17,48.4,8.2,0.00023851353,0
1981-02-17,48.4,8.45,0.00026774054,0
1981-02-18,48.4,8.45,0.00097339257,0
1981-02-18,48.65,8.2,0.0005611172,0
1981-02-18,48.65,8.45,0.00084899686,0
1981-02-18,48.4,8.2,0.00070177356,0
1981-02-19,48.4,8.45,0.0011433096,0
1981-02-19,48.4,8.2,0.000829092,0
1981-02-19,48.65,8.45,0.0012192599,0
1981-02-19,48.65,8.2,0.0008742921,0
1981-02-20,48.65,8.2,0.0010419388,0
1981-02-20,48.65,8.45,0.0010508068,0
1981-02-20,48.4,8.2,0.0008567113,0
1981-02-20,48.4,8.45,0.0009081066,0
1981-02-21,48.4,8.45,0.0026238025,0
1981-02-21,48.65,8.2,0.001985845,0
1981-02-21,48.65,8.45,0.002163983,0
1981-02-21,48.4,8.2,0.0021417504,0
1981-02-22,48.4,8.2,1.7613227e-05,0
1981-02-22,48.4,8.45,6.411606e-05,0
1981-02-22,48.65,8.2,1.3158755e-05,0
1981-02-22,48.65,8.45,7.222046e-05,0
1981-02-23,48.4,8.45,2.6709165e-06,0
1981-02-23,48.4,8.2,3.813824e-06,0
1981-02-23,48.65,8.2,4.6733253e-06,0
1981-02-23,48.65,8.45,2.955581e-06,0
1981-02-24,48.65,8.2,1.0302761e-05,0
1981-02-24,48.65,8.45,1.1736882e-05,0
1981-02-24,48.4,8.2,3.6558587e-05,0
1981-02-24,48.4,8.45,4.8072783e-05,0
1981-02-25,48.65,8.2,5.90078e-05,0
1981-02-25,48.65,8.45,0.000111703965,0
1981-02-25,48.4,8.2,5.7750407e-05,0
1981-02-25,48.4,8.45,0.000118622644,0
1981-02-26,48.4,8.45,2.651594e-05,0
1981-02-26,48.4,8.2,1.3279851e-05,0
1981-02-26,48.65,8.45,7.633882e-06,0
1981-02-26,48.65,8.2,4.959124e-06,0
1981-02-27,48.65,8.2,0.0,0
1981-02-27,48.65,8.45,0.0,0
1981-02-27,48.4,8.2,0.0,0
1981-02-27,48.4,8.45,0.0,0
1981-02-28,48.65,8.2,0.006041279,0
1981-02-28,48.65,8.45,0.005515729,0
1981-02-28,48.4,8.2,0.0054925196,0
1981-02-28,48.4,8.45,0.005206419,0
1981-03-01,48.4,8.2,0.002093036,0
1981-03-01,48.4,8.45,0.0019828253,0
1981-03-01,48.65,8.2,0.0022785983,0
1981-03-01,48.65,8.45,0.0020515996,0
