date,t2m_mean,tp_sum
01/01/2006,1.854745841936131,0.0
02/01/2006,3.838083241936131,0.0174269087167017
03/01/2006,4.488107441936131,1.150175952193483
04/01/2006,8.521432441936131,0.3485381897399267
05/01/2006,4.288095441936131,0.6622225851552861
06/01/2006,4.371408441936131,1.3244451703105722
07/01/2006,2.904733641936131,0.3485381897399267
08/01/2006,1.6880893419361307,0.0
09/01/2006,0.9380893419361308,0.0348538174334035
10/01/2006,0.1880893519361315,0.2091229097357185
11/01/2006,1.388071041936131,0.0
12/01/2006,5.771432841936131,0.0174269087167017
13/01/2006,6.254739741936131,11.135796571316137
14/01/2006,3.80475804193613,1.568421894912046
15/01/2006,1.121408441936131,1.1153221578689152
16/01/2006,-0.5452785580638686,0.0
17/01/2006,-3.4452419580638693,0.0
18/01/2006,-4.795278558063869,0.0
19/01/2006,-3.345266358063869,3.572516465375437
20/01/2006,-2.661916758063869,3.589943609031973
21/01/2006,-3.7285671580638695,6.01228338273117
22/01/2006,-0.4285793580638692,6.988190281137064
23/01/2006,3.254739741936131,16.329013733301203
24/01/2006,5.038095441936131,0.0522807274339296
25/01/2006,6.971414441936131,0.7667840502937392
26/01/2006,1.7047519419361308,1.8995333518191904
27/01/2006,4.588083441936131,5.994856567733637
28/01/2006,-0.1785793580638692,14.882580200689892
29/01/2006,-0.5952663580638689,24.74621138937005
30/01/2006,2.688089441936131,17.845154525902643
31/01/2006,0.2714328559361316,1.202456725845085
01/02/2006,2.588083241936131,1.6555564628882151
02/02/2006,3.688089441936131,7.510997360335078
03/02/2006,5.321420441936131,20.912289741100583
04/02/2006,4.504739741936131,10.003046365978426
05/02/2006,2.904733641936131,13.174744443115593
06/02/2006,2.3047580419361307,2.0912291384395605
07/02/2006,2.738077141936131,0.1394152697336143
08/02/2006,1.488077141936131,0.0
09/02/2006,1.8380832419361308,0.0
10/02/2006,0.7047214419361314,0.0
11/02/2006,-1.0786037580638688,0.0
12/02/2006,-2.2452297580638696,0.0
13/02/2006,-6.5285855580638685,0.0
14/02/2006,-6.511922858063869,0.0
15/02/2006,-4.628591558063869,0.1394152697336143
16/02/2006,-5.378591558063869,0.1394152697336143
17/02/2006,-4.828573258063869,0.0
18/02/2006,-3.06191055806387,0.0
19/02/2006,-4.511922858063869,0.0
20/02/2006,-2.1785793580638693,0.0
21/02/2006,-1.6619167580638692,0.0
22/02/2006,1.9547519419361308,0.0
23/02/2006,4.571420441936131,0.0
24/02/2006,2.688089441936131,0.0
25/02/2006,3.9547519419361303,0.0
26/02/2006,6.721384041936131,0.0
27/02/2006,8.971414441936131,0.0
28/02/2006,6.904733441936131,0.592514873259025
01/03/2006,5.838083441936131,4.931815922999082
02/03/2006,3.938089441936131,9.253689377176473
03/03/2006,6.371408441936131,0.3311112720364553
04/03/2006,2.5714206419361307,0.0
05/03/2006,8.20475194193613,0.0
06/03/2006,4.954751941936131,12.930766403878104
07/03/2006,6.021432841936131,0.2265498068980021
08/03/2006,8.688089441936132,0.0697076348668071
09/03/2006,11.354745441936132,0.0
10/03/2006,6.954751941936131,0.0
11/03/2006,7.904764141936131,0.6796494412351943
12/03/2006,5.554727441936131,10.682695437472242
13/03/2006,6.238046441936131,0.0
14/03/2006,6.938089441936131,0.0
15/03/2006,6.588083441936131,0.0
16/03/2006,4.121408441936131,0.0
17/03/2006,1.5547580419361309,0.0
18/03/2006,3.5214328419361305,0.0
19/03/2006,4.804758041936131,0.0
20/03/2006,3.754739741936131,0.0
21/03/2006,6.321420441936131,0.0
22/03/2006,6.921396441936131,0.0
23/03/2006,10.721414441936131,0.0
24/03/2006,11.221445441936131,0.0
25/03/2006,12.754739441936133,0.0
26/03/2006,3.3214206419361307,0.0
27/03/2006,2.738077141936131,0.0
28/03/2006,6.404733441936131,0.7145032766421372
29/03/2006,9.421396441936132,0.1045614548678592
30/03/2006,12.13807144193613,3.0845630161724897
31/03/2006,9.538064941936131,0.0
01/04/2006,6.804758041936131,28.039895199535923
02/04/2006,1.888071041936131,8.103513014159235
03/04/2006,0.1880893519361315,0.3659650869022104
04/04/2006,2.438089441936131,0.0
05/04/2006,1.7047519419361308,0.0
06/04/2006,2.1880893419361307,0.0
07/04/2006,3.4213962419361312,0.0
08/04/2006,2.821390141936132,0.0
09/04/2006,1.5547580419361309,0.0
10/04/2006,1.3714389419361313,5.611465323151902
11/04/2006,1.5714206419361307,0.0522807274339296
12/04/2006,3.254739741936131,0.1219883623007367
13/04/2006,3.2714328419361305,0.0
14/04/2006,1.6713962419361312,0.0
15/04/2006,2.938089441936131,0.0
16/04/2006,6.688058841936131,0.0
17/04/2006,5.021402441936131,0.0
18/04/2006,1.3047580419361309,0.0
19/04/2006,4.388071041936131,0.6099418115036841
20/04/2006,7.954751941936131,0.0
21/04/2006,8.421396441936132,0.2788305394672288
22/04/2006,10.054758441936132,4.443861816478128
23/04/2006,11.771432441936131,0.0174269087167017
24/04/2006,10.271432441936131,0.0
25/04/2006,9.054758441936132,0.0
26/04/2006,9.07142044193613,7.911816077232354
27/04/2006,10.90473344193613,2.2829250893894324
28/04/2006,12.488107441936132,4.165031461881589
29/04/2006,14.604745441936132,0.5053803874476064
30/04/2006,16.75473944193613,13.645269762684991
01/05/2006,9.121408441936133,0.0
02/05/2006,8.53809544193613,3.72935845767124
03/05/2006,13.971414441936131,0.0
04/05/2006,8.88807144193613,0.0
05/05/2006,6.638071041936131,0.0
06/05/2006,9.42142644193613,0.0
07/05/2006,13.771432441936131,0.0
08/05/2006,11.921396441936132,8.661174380670321
