date,t2m_mean,tp_sum,flow_m3_s
1981-01-01,1.3364950000000135,10.4373645,17.644
1981-01-02,0.5313675000000444,17.493534750000002,23.305
1981-01-03,4.463684999999998,26.6563955,53.963
1981-01-04,2.494732499999998,9.499158675,75.475
1981-01-05,-1.283889999999985,5.985488175,42.074
1981-01-06,-1.255814999999984,12.9802135,37.276
1981-01-07,-4.357074999999952,2.477835925,30.832
1981-01-08,-6.730079999999987,0.3310842675,26.065
1981-01-09,-5.371754999999951,0.94175675,20.853
1981-01-10,-0.6600899999999683,5.219869125,19.201
1981-01-11,-0.438130000000001,1.1391563999999,15.689
1981-01-12,-1.706594999999993,1.6064928,18.537
1981-01-13,-2.287912499999948,3.5740569,15.962
1981-01-14,-4.516637500000002,3.65250295,16.149
1981-01-15,-0.1232324999999718,19.337362,20.055
1981-01-16,-1.712334999999996,4.79170675,14.155
1981-01-17,2.110742500000015,12.78835125,16.828
1981-01-18,0.6408125000000382,7.79462385,15.903
1981-01-19,1.3250675000000456,12.583212,16.746
1981-01-20,-0.5690650000000232,5.795141,20.054
1981-01-21,-3.681870000000004,0.2495599175,19.081
1981-01-22,-7.078114999999968,0.0,16.126
1981-01-23,-8.885644999999954,0.0,14.356
1981-01-24,-8.628669999999943,0.0,13.085
1981-01-25,-3.588709999999992,2.6726566,12.599
1981-01-26,0.3020575000000463,2.815971775,12.178
1981-01-27,-4.478674999999953,0.00662949245,12.012
1981-01-28,-4.726139999999987,0.0,12.177
1981-01-29,-5.978430000000003,0.0,13.226
1981-01-30,-6.607887499999947,0.0,13.903
1981-01-31,-4.764502499999992,0.0,11.11
1981-02-01,-2.745399999999961,0.0,9.003
1981-02-02,-1.3787799999999493,0.0,10.288
1981-02-03,0.801825000000008,11.5030395,12.106
1981-02-04,1.8959575000000088,16.7130005,33.981
1981-02-05,-0.6114574999999718,5.228424899999999,23.379
1981-02-06,1.1490700000000516,8.703205375,19.83
1981-02-07,4.675177500000018,6.333566675,28.683
1981-02-08,4.827955000000031,0.73563337,45.028
1981-02-09,4.016222500000026,0.057148159,34.35
1981-02-10,2.3827325000000315,3.941603525,29.975
1981-02-11,-1.4347049999999513,0.5349406649999999,27.62
1981-02-12,-4.18015749999995,0.1102200449999999,21.612
1981-02-13,-5.348542499999951,0.0005003658,19.785
1981-02-14,-5.9852374999999824,0.0,18.188
1981-02-15,-5.369669999999985,0.0,16.062
1981-02-16,-4.921847499999956,0.0,16.389
1981-02-17,-2.5564824999999587,0.3062071999999999,14.328
1981-02-18,-2.184744999999964,0.7713200474999999,15.24
1981-02-19,-3.449934999999982,1.0164884,13.373
1981-02-20,-4.125354999999956,0.964390875,13.168
1981-02-21,-4.168099999999981,2.228845225,11.635
1981-02-22,-5.949324999999988,0.0417771255,9.44
1981-02-23,-5.220719999999972,0.0035284117,9.989
1981-02-24,-3.7919499999999857,0.02666775325,10.63
1981-02-25,-3.2559699999999907,0.086771204,10.46
1981-02-26,-1.6410249999999564,0.01309719925,10.586
1981-02-27,-2.237617499999999,0.0,10.815
1981-02-28,-1.2195899999999256,5.56398665,10.048
1981-03-01,3.438075000000026,2.1015148,8.87
1981-03-02,4.253495000000044,1.2656708424999,8.902
1981-03-03,3.82104750000002,3.7573043999999,8.723
1981-03-04,1.421365000000037,3.547146075,10.596
1981-03-05,1.1987950000000185,0.973585635,9.393
1981-03-06,2.664470000000051,2.9012913499999,10.645
1981-03-07,8.052825000000041,0.8677725000000001,11.386
1981-03-08,9.503327500000012,4.5304728249999,22.148
1981-03-09,10.435272499999996,3.850434575,50.203
1981-03-10,11.436525000000016,11.588868625,128.415
1981-03-11,13.638855000000037,10.718965375,107.862
1981-03-12,10.067272500000058,16.80591525,94.74
1981-03-13,7.011032499999999,10.026096375,109.37
1981-03-14,5.802277500000002,2.548547025,71.183
1981-03-15,4.62745000000001,1.427839865,42.839
1981-03-16,3.221627500000011,5.438782875,46.347
1981-03-17,1.4621775000000523,3.59898545,39.97
1981-03-18,0.3984475000000316,0.6109219300000001,36.98
1981-03-19,2.0974825000000124,0.054828603,30.043
1981-03-20,5.291854999999998,0.0,24.932
1981-03-21,9.219382500000052,0.000190846551,20.776
1981-03-22,9.267017500000009,1.783624025,20.333
1981-03-23,9.36934500000001,11.3629045,31.925
1981-03-24,12.106775000000027,12.060154375,72.336
1981-03-25,14.840130000000045,6.379155325,93.056
1981-03-26,12.27471250000002,10.57122175,79.045
1981-03-27,7.703620000000001,0.0002978686125,63.551
1981-03-28,9.235299999999995,0.0,42.72
1981-03-29,12.573787500000035,0.1559308274998999,33.866
1981-03-30,11.179945000000032,3.4506855,42.458
1981-03-31,10.995312500000011,0.3705445775,37.065
1981-04-01,11.107230000000015,0.08172439875,35.014
1981-04-02,10.601515000000006,0.0523907582499999,34.837
1981-04-03,12.566292500000031,0.0343519615,30.574
1981-04-04,10.197802500000025,0.9470803375,26.179
1981-04-05,5.5708700000000135,0.19178573,20.956
1981-04-06,7.818817500000023,0.4010184424999,23.505
1981-04-07,12.493827500000007,0.020888812325,20.631
1981-04-08,13.406155000000012,1.9754008325,17.253
1981-04-09,12.180200000000012,3.26834275,16.823
1981-04-10,13.995932500000038,0.000285581325,16.933
1981-04-11,14.63025250000004,0.0855870576,13.886
1981-04-12,16.071562500000027,8.839832800000002,12.97
1981-04-13,15.2619775,0.9241316325,15.286
1981-04-14,14.709564999999998,1.04409569,13.646
1981-04-15,13.56724250000002,0.04392955875,12.108
1981-04-16,10.844280000000026,0.0,11.448
1981-04-17,4.995110000000011,0.0,7.987
